Name,	Camera Alignment/Sparse Point Cloud,	Dense Reconstruction/point cloud,	Meshing,	Texturing
Bundler,	Yes,	-,	-, -
CMVS,	-,	Yes,	-,	-
COLMAP,	Yes	,	CUDA only,	CUDA only,	-
Meshlab,	-,	-,	Yes,	Yes
Meshroom,	Yes,	CUDA only,	Yes,	Yes
MicMac,	Yes,	Yes,	Yes,	Yes
MVE,	Yes,	Yes,	Yes	,	-
openMVG,	Yes,	Yes,	-,	-
openMVS,	-,	-,	Yes,	Yes
OpenSfM,	?,	?,	?,	?
PPT GUI (for CMVS/PMVS),	Yes,	Yes,	Yes,	Yes
Regard 3D,	Yes,	Yes,	Yes,	Yes
TeleSculptor,	?,	?,	?,	?
Theia SfM,	Yes,	-,	-,	-
VisualSFM,	Yes,	Yes,	-,	-
TeleSculptor,	?,	?,	?,	?
hpmvs,	?,	Yes,	?,	?
smvs,	?,	?,	?,	?
CoSLAM, Yes,	?,	?,	?
DSO, Yes,	?,	?,	?
dtslam, Yes,	?,	?,	?
maplab, Yes,	Yes,	?,	?
okvis,	?,	?,	?,	?
ORB_SLAM2, Yes,	?,	?,	?
rebvo,	?,	?,	?,	?
rpg_svo, Yes,	?,	?,	?








